Rango,Total,Hombres,Mujeres
0,   694 948,   353 751,   341 197
5,   727 075,   369 308,   357 767
10,   714 393,   362 097,   352 296
15,   715 003,   360 175,   354 828
20,   669 088,   329 145,   339 943
25,   592 033,   287 723,   304 310
30,   548 117,   263 140,   284 977
35,   535 234,   258 270,   276 964
40,   446 601,   213 669,   232 932
45,   371 541,   175 474,   196 067
50,   324 277,   152 109,   172 168
55,   254 380,   120 383,   133 997
60,   210 465,   99 337,   111 128
65,   155 337,   73 976,   81 361
70,   118 204,   55 172,   63 032
75,   80 747,   37 383,   43 364
80,   53 964,   23 768,   30 196
85,   32 720,   14 255,   18 465
90,   13 596,   5 628,   7 968
95,   5 206,   2 133,   3 073
100,   1 084,    415,    669
